time,water_level,inflow,outflow
1.0,5.0546,1.2,1.118
2.0,5.1052,1.2,1.1241
3.0,5.1521,1.2,1.1297
4.0,5.1955,1.2,1.1349
5.0,5.2357,1.2,1.1397
6.0,5.273,1.2,1.1441
7.0,5.3075,1.2,1.1481
8.0,5.3396,1.2,1.1519
9.0,5.3693,1.2,1.1554
10.0,5.3969,1.2,1.1586
11.0,5.4226,1.2,1.1616
12.0,5.4464,1.2,1.1643
13.0,5.4684,1.2,1.1669
14.0,5.4889,1.2,1.1692
15.0,5.508,1.2,1.1714
16.0,5.5257,1.2,1.1735
17.0,5.5421,1.2,1.1753
18.0,5.5574,1.2,1.1771
19.0,5.5716,1.2,1.1787
20.0,5.5848,1.2,1.1802
21.0,5.5971,1.2,1.1816
22.0,5.6085,1.2,1.1829
23.0,5.619,1.2,1.1841
24.0,5.6289,1.2,1.1852
25.0,5.6381,1.2,1.1863
26.0,5.6466,1.2,1.1872
27.0,5.6545,1.2,1.1881
28.0,5.6618,1.2,1.189
29.0,5.6687,1.2,1.1897
30.0,5.6751,1.2,1.1905
31.0,5.681,1.2,1.1911
32.0,5.6865,1.2,1.1917
33.0,5.6916,1.2,1.1923
34.0,5.6964,1.2,1.1929
35.0,5.7008,1.2,1.1934
36.0,5.7049,1.2,1.1938
37.0,5.7088,1.2,1.1942
38.0,5.7123,1.2,1.1947
39.0,5.7156,1.2,1.195
40.0,5.7187,1.2,1.1954
41.0,5.7216,1.2,1.1957
42.0,5.7243,1.2,1.196
43.0,5.7268,1.2,1.1963
44.0,5.7291,1.2,1.1965
45.0,5.7312,1.2,1.1968
46.0,5.7332,1.2,1.197
47.0,5.7351,1.2,1.1972
48.0,5.7368,1.2,1.1974
49.0,5.7384,1.2,1.1976
50.0,5.7399,1.2,1.1978
51.0,5.7413,1.2,1.1979
52.0,5.7426,1.2,1.1981
53.0,5.7438,1.2,1.1982
54.0,5.745,1.2,1.1983
55.0,5.746,1.2,1.1984
56.0,5.747,1.2,1.1985
57.0,5.7479,1.2,1.1986
58.0,5.7487,1.2,1.1987
59.0,5.7495,1.2,1.1988
60.0,5.7502,1.2,1.1989
61.0,5.7509,1.2,1.199
62.0,5.7515,1.2,1.1991
63.0,5.7521,1.2,1.1991
64.0,5.7527,1.2,1.1992
65.0,5.7532,1.2,1.1992
66.0,5.7537,1.2,1.1993
67.0,5.7541,1.2,1.1993
68.0,5.7545,1.2,1.1994
69.0,5.7549,1.2,1.1994
70.0,5.7552,1.2,1.1995
71.0,5.7556,1.2,1.1995
72.0,5.7559,1.2,1.1995
73.0,5.7562,1.2,1.1996
74.0,5.7564,1.2,1.1996
75.0,5.7567,1.2,1.1996
76.0,5.7569,1.2,1.1997
77.0,5.7571,1.2,1.1997
78.0,5.7573,1.2,1.1997
79.0,5.7575,1.2,1.1997
80.0,5.7577,1.2,1.1997
81.0,5.7578,1.2,1.1998
82.0,5.758,1.2,1.1998
83.0,5.7581,1.2,1.1998
84.0,5.7583,1.2,1.1998
85.0,5.7584,1.2,1.1998
86.0,5.7585,1.2,1.1998
87.0,5.7586,1.2,1.1998
88.0,5.7587,1.2,1.1999
89.0,5.7588,1.2,1.1999
90.0,5.7589,1.2,1.1999
91.0,5.759,1.2,1.1999
92.0,5.759,1.2,1.1999
93.0,5.7591,1.2,1.1999
94.0,5.7592,1.2,1.1999
95.0,5.7592,1.2,1.1999
96.0,5.7593,1.2,1.1999
97.0,5.7593,1.2,1.1999
98.0,5.7594,1.2,1.1999
99.0,5.7594,1.2,1.1999
100.0,5.7595,1.2,1.1999
